YYYYMMDD,YYYY.DECM,N(m),E(m),U(m),sig_n(mm),sig_e(mm),sig_u(mm)
2011-04-07,2011.2644,7.3,-395.6,-11.1,2.0,2.1,6.3
2011-04-08,2011.2671,8.5,-394.3,-9.6,1.8,1.9,5.8
2011-04-09,2011.2699,7.7,-395.6,-11.0,1.8,1.9,5.9
2011-04-10,2011.2726,7.3,-395.6,-8.3,1.7,1.8,5.6
2011-04-11,2011.2753,8.1,-395.3,-4.4,1.8,1.8,6.0
2011-04-12,2011.2781,8.5,-396.0,-5.8,1.9,1.9,6.1
2011-04-13,2011.2808,8.1,-395.5,-6.9,1.9,1.9,6.2
2011-04-14,2011.2836,7.5,-395.4,-6.3,1.9,1.9,6.1
2011-04-15,2011.2863,7.8,-395.1,-6.1,1.9,1.9,6.1
2011-04-16,2011.289,7.8,-396.1,-8.8,1.9,1.9,6.3
2011-04-17,2011.2918,7.5,-396.1,-7.6,2.0,2.1,6.8
2011-04-18,2011.2945,7.8,-395.0,-5.3,1.8,1.7,6.45
2011-04-19,2011.2973,7.6,-394.4,-3.0,1.9,1.9,6.1
2011-04-20,2011.3,7.9,-394.0,-4.5,1.9,2.0,6.4
2011-04-21,2011.3027,8.2,-393.3,-8.8,1.8,1.9,6.1
2011-04-22,2011.3055,8.4,-394.3,-8.3,1.8,1.9,5.9
2011-04-23,2011.3082,7.7,-394.6,-9.0,1.9,2.0,6.2
2011-04-24,2011.311,8.0,-394.4,-4.7,1.9,2.0,6.4
2011-04-25,2011.3137,8.2,-395.2,-6.9,2.0,2.0,6.6
2011-04-26,2011.3164,7.3,-394.6,-5.7,1.9,2.0,6.4
2011-04-27,2011.3192,6.5,-394.5,-2.1,2.0,2.1,6.5
2011-04-28,2011.3219,8.3,-395.5,-1.8,2.0,2.1,6.7
2011-04-29,2011.3247,8.2,-394.4,-4.9,2.1,2.1,6.7
2011-04-30,2011.3274,7.7,-394.5,-1.7,1.9,2.0,6.0
2011-05-01,2011.3301,8.3,-394.0,-5.5,2.0,2.1,6.4
2011-05-02,2011.3329,7.7,-394.2,-9.0,2.1,2.1,6.7
2011-05-03,2011.3356,7.7,-392.8,-6.6,2.0,2.1,6.5
2011-05-04,2011.3384,7.1,-393.1,-3.8,1.9,2.0,6.1
2011-05-05,2011.3411,8.8,-392.4,-3.3,2.1,2.1,6.7
2011-05-06,2011.3438,8.8,-393.3,0.6,2.0,2.1,6.6
2011-05-07,2011.3466,7.8,-393.9,-0.9,2.0,2.0,6.6
2011-05-08,2011.3493,9.3,-393.6,-1.9,2.2,2.3,7.1
2011-05-09,2011.3521,8.3,-393.4,-1.6,2.2,2.3,7.3
2011-05-10,2011.3548,6.6,-392.8,-6.6,2.1,2.1,7.0
2011-05-11,2011.3575,7.7,-392.3,-0.7,2.0,2.0,6.5
2011-05-12,2011.3603,8.1,-393.0,-4.5,1.8,1.8,5.9
2011-05-13,2011.363,7.4,-391.5,-5.7,2.0,1.9,6.6
2011-05-14,2011.3658,8.7,-393.0,-4.8,1.9,1.9,6.2
2011-05-15,2011.3685,8.1,-391.5,-9.8,1.9,1.9,6.4
2011-05-16,2011.3712,6.9,-393.1,-1.8,2.1,2.1,7.1
2011-05-17,2011.374,7.2,-391.5,-3.4,2.1,2.1,7.0
2011-05-18,2011.3767,7.5,-390.0,-9.2,2.2,2.3,7.3
2011-05-19,2011.3795,8.9,-391.2,-5.9,2.0,1.9,6.6
2011-05-20,2011.3822,9.1,-391.4,-6.4,1.9,1.9,6.3
2011-05-21,2011.3849,6.7,-390.8,-2.8,2.2,2.3,7.2
2011-05-22,2011.3877,7.2,-390.2,-4.6,2.3,2.4,7.5
2011-05-23,2011.3904,6.9,-390.5,-3.9,2.6,2.5,8.4
2011-05-24,2011.3932,9.1,-392.3,-7.5,2.0,1.9,6.6
2011-05-25,2011.3959,8.2,-390.3,-3.9,1.9,1.9,6.2
2011-05-26,2011.3986,8.4,-390.9,-4.7,2.1,2.1,6.9
2011-05-27,2011.4014,8.6,-391.0,-0.2,2.1,2.0,6.8
2011-05-28,2011.4041,10.3,-391.1,-5.2,2.1,2.1,6.8
2011-05-29,2011.4068,8.9,-391.1,-7.8,2.0,2.0,6.5
2011-05-30,2011.4096,8.4,-390.3,-6.1,2.1,2.1,6.8
2011-05-31,2011.4123,7.9,-389.3,0.3,2.2,2.3,7.0
2011-06-01,2011.4151,8.8,-392.1,-0.8,2.1,2.1,6.8
2011-06-02,2011.4178,8.6,-391.7,0.1,2.1,2.1,6.8
2011-06-03,2011.4205,7.9,-390.9,-0.9,2.1,2.1,7.0
2011-06-04,2011.4233,5.4,-391.3,-0.2,2.2,2.2,7.3
2011-06-05,2011.426,7.4,-390.2,0.9,2.2,2.2,7.3
2011-06-06,2011.4288,8.5,-392.1,-0.1,2.3,2.3,7.6
2011-06-07,2011.4315,7.1,-389.5,-2.7,2.3,2.3,7.4
2011-06-08,2011.4342,7.1,-391.4,1.6,2.1,2.1,6.8
2011-06-09,2011.437,7.3,-389.1,3.0,2.2,2.2,7.3
2011-06-10,2011.4397,4.4,-388.5,1.5,2.1,2.1,6.8
2011-06-11,2011.4425,8.2,-388.8,0.4,2.4,2.4,7.6
2011-06-12,2011.4452,8.0,-387.9,-0.2,2.4,2.4,7.9
2011-06-13,2011.4479,6.2,-389.1,-0.4,2.2,2.1,7.2
2011-06-14,2011.4507,6.0,-389.7,2.5,2.2,2.2,7.3
2011-06-15,2011.4534,6.1,-390.1,3.2,2.2,2.2,7.1
2011-06-16,2011.4562,6.9,-387.9,-0.7,2.3,2.3,7.3
2011-06-17,2011.4589,6.2,-391.4,-3.3,2.3,2.3,7.8
2011-06-18,2011.4616,5.6,-388.9,-7.4,2.2,2.2,7.6
2011-06-19,2011.4644,6.3,-389.7,2.0,2.1,2.1,7.0
2011-06-20,2011.4671,5.3,-388.1,-3.4,2.8,2.7,9.8
2011-06-21,2011.4699,5.2,-390.1,-7.3,2.6,2.6,8.5
2011-06-22,2011.4726,7.4,-389.1,-2.3,2.5,2.5,8.2
2011-06-23,2011.4753,8.4,-390.3,-4.3,2.1,2.1,7.2
2011-06-24,2011.4781,6.9,-389.0,-0.8,2.1,2.1,7.1
2011-06-25,2011.4808,6.3,-387.6,-5.3,2.6,2.7,8.7
2011-06-26,2011.4836,7.0,-387.1,-1.2,2.2,2.1,8.25
2011-06-27,,,,,,,
2011-06-28,2011.489,3.3,-390.4,2.9,2.4,2.2,7.8
2011-06-29,2011.4918,2.1,-388.8,2.6,2.4,2.2,8.1
2011-06-30,2011.4945,7.7,-389.8,0.8,2.3,2.2,7.7
2011-07-01,2011.4973,5.0,-389.2,-8.6,2.4,2.4,7.9
2011-07-02,2011.5,3.7,-388.1,-6.8,2.4,2.3,8.1
2011-07-03,2011.5027,3.3,-388.6,0.4,2.4,2.3,7.8
2011-07-04,2011.5055,5.8,-390.0,-3.7,2.4,2.3,8.0
2011-07-05,2011.5082,4.4,-390.0,-2.8,2.1,1.9,6.8
2011-07-06,2011.511,4.0,-388.6,-7.9,2.6,2.6,8.3
2011-07-07,2011.5137,6.8,-388.7,-4.4,2.3,2.3,7.5
2011-07-08,2011.5164,5.0,-388.9,-4.9,2.1,2.0,6.7
2011-07-09,2011.5192,3.2,-388.0,-6.0,2.2,2.1,7.3
2011-07-10,2011.5219,3.0,-388.2,-7.5,2.3,2.2,7.5
2011-07-11,2011.5247,3.1,-387.8,-5.5,2.0,1.9,6.5
